filename, language, HTML, JSON, log, Markdown, JavaScript, CSS, Ignore, comment, blank, total
src\routes\user.js, JavaScript, 0, 0, 0, 0, 116, 0, 0, 15, 14, 145
src\routes\utils.js, JavaScript, 0, 0, 0, 0, 31, 0, 0, 7, 6, 44
src\services\cart.js, JavaScript, 0, 0, 0, 0, 110, 0, 0, 26, 7, 143
src\services\coupon.js, JavaScript, 0, 0, 0, 0, 69, 0, 0, 34, 9, 112
src\services\farm.js, JavaScript, 0, 0, 0, 0, 185, 0, 0, 46, 14, 245
src\services\goods.js, JavaScript, 0, 0, 0, 0, 84, 0, 0, 24, 8, 116
src\services\order.js, JavaScript, 0, 0, 0, 0, 142, 0, 0, 44, 13, 199
src\services\socket.js, JavaScript, 0, 0, 0, 0, 74, 0, 0, 19, 6, 99
src\services\supplier.js, JavaScript, 0, 0, 0, 0, 70, 0, 0, 24, 8, 102
src\services\user.js, JavaScript, 0, 0, 0, 0, 187, 0, 0, 67, 14, 268
src\utils\cryp.js, JavaScript, 0, 0, 0, 0, 11, 0, 0, 7, 5, 23
src\utils\env.js, JavaScript, 0, 0, 0, 0, 9, 0, 0, 3, 3, 15
src\utils\queue.js, JavaScript, 0, 0, 0, 0, 32, 0, 0, 21, 4, 57
src\utils\token.js, JavaScript, 0, 0, 0, 0, 9, 0, 0, 4, 4, 17
src\utils\util.js, JavaScript, 0, 0, 0, 0, 44, 0, 0, 27, 7, 78
src\validators\good.js, JavaScript, 0, 0, 0, 0, 31, 0, 0, 4, 3, 38
src\validators\user.js, JavaScript, 0, 0, 0, 0, 104, 0, 0, 28, 9, 141
src\views\404.html, HTML, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
src\views\client.html, HTML, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
src\views\error.html, HTML, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
src\views\error.js, JavaScript, 0, 0, 0, 0, 14, 0, 0, 5, 4, 23
src\views\service.html, HTML, 107, 0, 0, 0, 0, 0, 0, 0, 2, 109
src\views\socket.css, CSS, 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
src\views\socket.io.js, JavaScript, 0, 0, 0, 0, 3, 0, 0, 6, 0, 9
src\views\supplier.html, HTML, 117, 0, 0, 0, 0, 0, 0, 0, 2, 119
Total, -, 377, 8020, 0, 65, 4666, 43, 3, 1209, 558, 14941
